Kecamatan,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan,,,,,,,,,,,,
Antapani,2,6000000,36000000,-,Mikro,,,,,,,,,,,,
Antapani,11,25000000,30000000,2006,Mikro,,,,,,,,,,,,
Antapani,3,-,48000000,2006,Mikro,,,,,,,,,,,,
Antapani,1,1000000,10000000,2004,Mikro,,,,,,,,,,,,
Antapani,-,20000000,20000000,1998,Mikro,,,,,,,,,,,,
Antapani,-,10000000,40000000,2000,Mikro,,,,,,,,,,,,
Antapani,1,7000000,10000000,1996,Mikro,,,,,,,,,,,,
Antapani,10,-,100000000,2007,Mikro,,,,,,,,,,,,
Antapani,2,-,20000000,2000,Mikro,,,,,,,,,,,,
Antapani,2,-,25000000,1997,Mikro,,,,,,,,,,,,
Antapani,4,-,15000000,1990,Mikro,,,,,,,,,,,,
Antapani,10,20000000,55000000,2004,Mikro,,,,,,,,,,,,
Antapani,1,-,57800000,2001,Mikro,,,,,,,,,,,,
Antapani,3,100000000,270000000,1992,Kecil,,,,,,,,,,,,
Antapani,4,-,32000000,2008,Mikro,,,,,,,,,,,,
Antapani,4,-,-,-,Mikro,,,,,,,,,,,,
Antapani,3,-,3000000,2007,Mikro,,,,,,,,,,,,
Antapani,-,-,-,-,Mikro,,,,,,,,,,,,
Antapani,3,-,30000000,1996,Mikro,,,,,,,,,,,,
Antapani,3,-,10000000,1994,Mikro,,,,,,,,,,,,
Antapani,4,-,30000000,1996,Mikro,,,,,,,,,,,,
Antapani,10,5000000,200000000,-,Mikro,,,,,,,,,,,,
Antapani,2,50000000,100000000,1994,Mikro,,,,,,,,,,,,
Antapani,1,60000000,75000000,1995,Kecil,,,,,,,,,,,,
Antapani,2,2500000,13000000,2007,Mikro,,,,,,,,,,,,
Antapani,5,30000000,450000000,2005,Mikro,,,,,,,,,,,,
Antapani,-,-,-,-,Menengah,,,,,,,,,,,,
Antapani,-,-,-,-,Menengah,,,,,,,,,,,,
Antapani,20,-,200000000,2001,Mikro,,,,,,,,,,,,
Antapani,2,-,-,2009,Mikro,,,,,,,,,,,,
Antapani,1,15000000,36000000,2005,Mikro,,,,,,,,,,,,
Antapani,-,5000000,36000000,2008,Mikro,,,,,,,,,,,,
Antapani,4,-,240000000,2003,Mikro,,,,,,,,,,,,
Antapani,6,-,-,2005,Mikro,,,,,,,,,,,,
Antapani,5,33000000,240000000,2010,Mikro,,,,,,,,,,,,
Antapani,3,-,40000000,2010,Mikro,,,,,,,,,,,,
Antapani,5,-,144000000,-,Mikro,,,,,,,,,,,,
Antapani,1,-,25000000,2010,Mikro,,,,,,,,,,,,
Antapani,-,45000000,24000000,2010,Mikro,,,,,,,,,,,,
Antapani,2,-,100000000,2008,Mikro,,,,,,,,,,,,
Antapani,6,-,100000000,2005,Mikro,,,,,,,,,,,,
Antapani,3,-,-,2011,Mikro,,,,,,,,,,,,
Antapani,2,-,50000000,2005,Mikro,,,,,,,,,,,,
Antapani,5,-,-,1982,Mikro,,,,,,,,,,,,
Antapani,-,15000000,60000000,2011,Mikro,,,,,,,,,,,,
Antapani,4,17000000,30000000,2010,Mikro,,,,,,,,,,,,
Antapani,2,3000000,10000000,2011,Mikro,,,,,,,,,,,,
Antapani,-,-,-,2012,Mikro,,,,,,,,,,,,
Antapani,2,18000000,152000000,2006,Mikro,,,,,,,,,,,,
Antapani,2,10000000,60000000,2010,Mikro,,,,,,,,,,,,
Antapani,1,750000,9500000,2012,Mikro,,,,,,,,,,,,
Antapani,1,12000000,12500000,2013,Mikro,,,,,,,,,,,,
Antapani,2,7000000,25000000,2012,Mikro,,,,,,,,,,,,
Antapani,-,-,-,-,Mikro,,,,,,,,,,,,
Antapani,-,10000000,20000000,2010,Mikro,,,,,,,,,,,,
Antapani,-,-,-,2009,Mikro,,,,,,,,,,,,
Antapani,-,-,-,2014,Mikro,,,,,,,,,,,,
Antapani,3,-,-,2012,Mikro,,,,,,,,,,,,
Antapani,5,-,100000000,2009,Mikro,,,,,,,,,,,,
Antapani,2,20000000,40000000,2010,Mikro,,,,,,,,,,,,
Antapani,2,-,-,2012,Mikro,,,,,,,,,,,,
