Kecamatan,Jumlah Karyawan,Aset,Omset,Lama Berdiri(Tahun),Kategori Usaha
Babakan Ciparay,1,4000000.0,9000000.0,29.0,Mikro
Babakan Ciparay,2,3000000.0,9000000.0,20.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,19.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,19.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,20.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,23.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,24.0,Mikro
Babakan Ciparay,1,4000000.0,9000000.0,34.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,24.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,39.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,23.0,Mikro
Babakan Ciparay,0,4000000.0,4200000.0,19.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,21.0,Mikro
Babakan Ciparay,2,3000000.0,9000000.0,29.0,Mikro
Babakan Ciparay,0,3000000.0,2400000.0,19.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,19.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,29.0,Mikro
Babakan Ciparay,0,3000000.0,9000000.0,20.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,20.0,Mikro
Babakan Ciparay,0,4000000.0,4200000.0,22.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,22.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,20.0,Mikro
Babakan Ciparay,2,3000000.0,4200000.0,20.0,Mikro
Babakan Ciparay,1,4000000.0,9000000.0,22.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,34.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,23.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,33.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,23.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,34.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,24.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,23.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,23.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,39.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,20.0,Mikro
Babakan Ciparay,1,4000000.0,4200000.0,22.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,33.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,21.0,Mikro
Babakan Ciparay,0,3000000.0,4200000.0,19.0,Mikro
Babakan Ciparay,0,4000000.0,9000000.0,20.0,Mikro
Babakan Ciparay,3,70000000.0,216000000.0,12.0,Kecil
Babakan Ciparay,0,80000000.0,108000000.0,15.0,Kecil
Babakan Ciparay,10,150000000.0,108000000.0,49.0,Kecil
Babakan Ciparay,0,60000000.0,108000000.0,17.0,Kecil
Babakan Ciparay,0,150000000.0,108000000.0,20.0,Kecil
Babakan Ciparay,0,20000000.0,54000000.0,18.0,Mikro
Babakan Ciparay,4,50000000.0,54000000.0,22.0,Mikro
Babakan Ciparay,0,3000000.0,48000000.0,11.0,Mikro
Babakan Ciparay,0,80000000.0,25200000.0,14.0,Kecil
Babakan Ciparay,1,20000000.0,24000000.0,12.0,Mikro
